geohash,no_poi,maxspeed
w21xjfc,1.0,70.0
w21xjzu,1.0,
w21xnyn,3.0,
w21xpnd,1.0,
w21xpye,1.0,
w21xq5d,1.0,50.0
w21xq5d,1.0,50.0
w21xq5d,1.0,50.0
w21xq5d,1.0,50.0
w21xq5d,1.0,70.0
w21xq5d,1.0,70.0
w21xq5d,1.0,70.0
w21xq5d,1.0,50.0
w21xq5d,1.0,50.0
w21xq5d,1.0,50.0
w21xq5d,1.0,70.0
w21xq5d,1.0,70.0
w21xq5d,1.0,70.0
w21xq5d,1.0,50.0
w21xq5d,1.0,50.0
w21xq5f,2.0,50.0
w21xq5f,2.0,50.0
w21xq5f,2.0,50.0
w21xq5f,2.0,50.0
w21xqj4,1.0,50.0
w21xqj4,1.0,60.0
w21xqj4,1.0,50.0
w21xqj4,1.0,50.0
w21xqj4,1.0,60.0
w21xqj4,1.0,60.0
w21xqj4,1.0,60.0
w21xqnn,2.0,50.0
w21xqnn,2.0,50.0
w21xqnn,2.0,50.0
w21xqnn,2.0,70.0
w21xqnn,2.0,50.0
w21xqnn,2.0,70.0
w21xqnn,2.0,70.0
w21xqnq,1.0,50.0
w21xqnq,1.0,70.0
w21xqnq,1.0,70.0
w21xqnq,1.0,50.0
w21xqnq,1.0,50.0
w21xqnt,1.0,50.0
w21xqnt,1.0,50.0
w21xqp7,1.0,60.0
w21xqp7,1.0,60.0
w21xqxv,3.0,70.0
w21xqxv,3.0,70.0
w21xqxv,3.0,70.0
w21xqxv,3.0,70.0
w21xqxv,3.0,70.0
w21xrcr,1.0,
w21xrrn,1.0,60.0
w21xrrn,1.0,60.0
w21xrrn,1.0,60.0
w21xrrn,1.0,60.0
w21xrzg,2.0,
w21xrzu,2.0,
w21xw0h,2.0,60.0
w21xw0h,2.0,60.0
w21xw0h,2.0,50.0
w21xw0h,2.0,60.0
w21xw0h,2.0,60.0
w21xw0h,2.0,60.0
w21xw0h,2.0,60.0
w21xw6x,1.0,50.0
w21xw6x,1.0,50.0
w21xw6x,1.0,50.0
w21xw6x,1.0,50.0
w21xw6x,1.0,50.0
w21xw6x,1.0,50.0
w21xw6x,1.0,50.0
w21xw6x,1.0,50.0
w21xw6x,1.0,50.0
w21xwdj,1.0,50.0
