trj_id,source_lat,source_lng,source_timestamp,dest_lat,dest_lng,dest_timestamp,time_taken,geohash_source,geohash_dest,hour,day
100,1.345079397105591,103.9384739252771,2019-04-16 02:44:15,1.3352065071398824,103.84220742198522,2019-04-16 03:00:48,993.0,w21zthv,w21zdgp,2,1
1000,1.4353174528315644,103.78864468362562,2019-04-11 00:49:33,1.3688582315648652,103.8610069597326,2019-04-11 01:03:49,856.0,w23b1v2,w21zg3j,0,3
10004,1.4338993471344876,103.76870530269464,2019-04-09 03:12:36,1.3923011394141274,103.90884581266513,2019-04-09 03:26:47,851.0,w23b1m4,w21zut2,3,1
10005,1.3712447,103.8711877,2019-04-17 01:21:40,1.3014539,103.8430522,2019-04-17 01:38:48,1028.0,w21zg9s,w21z7hb,1,2
1001,1.3444444461232608,103.72681124202708,2019-04-13 12:11:50,1.330114345644098,103.87545467292564,2019-04-13 12:30:11,1101.0,w21z8ke,w21zedp,12,5
10011,1.3228707,103.6971282,2019-04-20 08:06:26,1.3754727,103.9594611,2019-04-20 08:41:19,2093.0,w21xx8v,w21zvdk,8,5
10013,1.3632361,103.8427003,2019-04-08 21:22:48,1.3481651,103.6992189,2019-04-08 21:41:35,1127.0,w21zfbp,w21xxtr,21,0
1002,1.4411664,103.8012278,2019-04-21 23:11:38,1.2802815,103.8171987,2019-04-21 23:49:27,2269.0,w23b4n3,w21z63j,23,6
10027,1.33896334,103.94397317,2019-04-21 12:08:14,1.37029973,103.84543426,2019-04-21 12:33:13,1499.0,w21zt7c,w21zg13,12,6
1003,1.44768,103.81296,2019-04-19 01:30:44,1.33371,103.7441867,2019-04-19 01:54:02,1398.0,w23b4rd,w21z8fb,1,4
10031,1.3786219490359124,103.89677443887923,2019-04-21 22:16:21,1.391643172578217,103.7450078534527,2019-04-21 22:41:54,1533.0,w21zu4z,w21zbv2,22,6
10037,1.365150520865607,103.8914632655162,2019-04-12 06:55:03,1.339700287209209,103.9641407133117,2019-04-12 07:10:22,919.0,w21zu0e,w21ztgb,6,4
10038,1.3947460089388313,103.74678417101102,2019-04-17 03:03:07,1.4007841190336279,103.89145293282706,2019-04-17 03:21:12,1085.0,w21zbvf,w21zup5,3,2
1004,1.3026909,103.899307,2019-04-21 06:10:02,1.3563294,103.7677664,2019-04-21 06:33:12,1390.0,w21zkm1,w21z9qc,6,6
10042,1.3416790287872173,103.74901247504349,2019-04-20 13:39:47,1.3378637129793123,103.97884439609325,2019-04-20 14:02:44,1377.0,w21z8u5,w21zw5e,13,5
1005,1.3477800497463672,103.92373331865879,2019-04-10 06:07:56,1.3421782686660133,103.77839422054299,2019-04-10 06:24:00,964.0,w21zsv6,w21z9s3,6,2
10050,1.390600366110367,103.87564076516054,2019-04-08 22:03:43,1.3363331169936392,103.75779407324109,2019-04-08 22:24:12,1229.0,w21zgtp,w21z956,22,0
1006,1.333058057193211,103.73819830178792,2019-04-16 08:59:58,1.2726295034945636,103.84203725172019,2019-04-16 09:18:48,1130.0,w21z8de,w21z4zx,8,1
10063,1.2868100588876705,103.84701574128334,2019-04-18 09:26:57,1.344273537429119,103.75414038377477,2019-04-18 09:53:06,1569.0,w21z747,w21z8ux,9,3
10064,1.389848,103.762365,2019-04-08 10:18:00,1.3274836,103.7200292,2019-04-08 10:34:21,981.0,w21zcjj,w21z81w,10,0
10067,1.3187690501741274,103.76288735123393,2019-04-14 06:02:09,1.2478674980296345,103.83794841701852,2019-04-14 06:22:52,1243.0,w21z90j,w21z4gh,6,6
1007,1.3503962,103.7072623,2019-04-19 02:50:37,1.3420418,103.9819281,2019-04-19 03:18:15,1658.0,w21xxvv,w21zwhm,2,4
10077,1.3706353,103.9491106,2019-04-15 09:07:36,1.3923934,103.7760343,2019-04-15 09:29:30,1314.0,w21zv3t,w21zcmr,9,0
1008,1.3450935237219686,103.74117790861565,2019-04-13 09:17:47,1.3425818533537999,103.94806233814157,2019-04-13 09:38:21,1234.0,w21z8sy,w21ztkk,9,5
10088,1.3161006,103.76466,2019-04-08 22:22:15,1.3810269,103.8581992,2019-04-08 22:42:17,1202.0,w21z3px,w21zg77,22,0
1009,1.3289242222896003,103.6794551675134,2019-04-16 05:03:26,1.2848994576101995,103.79941652420456,2019-04-16 05:16:57,811.0,w21xx3c,w21z61b,5,1
101,1.4005109153764403,103.89624786900629,2019-04-15 05:47:03,1.3192464154632069,103.85191083180561,2019-04-15 06:03:48,1005.0,w21zuny,w21ze0n,5,0
1010,1.3399026380435746,103.7425740394331,2019-04-14 07:00:09,1.2612941724052151,103.82383997077577,2019-04-14 07:19:40,1171.0,w21z8ez,w21z4td,7,6
10103,1.2859984,103.8425987,2019-04-11 06:15:01,1.4112144,103.8301626,2019-04-11 06:30:49,948.0,w21z6fp,w23b48y,6,3
1011,1.3241811200327926,103.88105102989388,2019-04-10 08:23:21,1.349455228660293,103.79295924186259,2019-04-10 08:41:15,1074.0,w21zec5,w21z9ve,8,2
10113,1.3214316,103.8529322,2019-04-17 10:22:49,1.3909179,103.8461393,2019-04-17 10:38:59,970.0,w21ze0x,w21zgj4,10,2
1012,1.2766923,103.8604204,2019-04-18 11:22:26,1.3438385,103.7477588,2019-04-18 11:47:31,1505.0,w21z72k,w21z8ud,11,3
10120,1.4288169,103.8269056,2019-04-16 15:11:17,1.376524,103.8963643,2019-04-16 15:32:57,1300.0,w23b4sh,w21zu4x,15,1
1013,1.3349920983242687,103.74490934591172,2019-04-11 04:31:37,1.3716128749730347,103.87035969115632,2019-04-11 04:54:06,1349.0,w21z8g0,w21zg9s,4,3
10133,1.325591490605218,103.90279976660749,2019-04-15 11:06:58,1.3325362745684874,103.81663958551717,2019-04-15 11:27:03,1205.0,w21zs37,w21zd6s,11,0
1014,1.3766333,103.7732067,2019-04-09 07:53:25,1.340515,103.9478617,2019-04-09 08:14:42,1277.0,w21zc6t,w21ztkh,7,1
10153,1.3202944016112428,103.96884464489551,2019-04-08 02:35:15,1.3125122196412373,103.8391043119187,2019-04-08 02:52:37,1042.0,w21ztb7,w21z6yv,2,0
10154,1.3371696,103.9793077,2019-04-08 03:56:34,1.3109137,103.8359532,2019-04-08 04:15:21,1127.0,w21zw57,w21z6ye,3,0
1016,1.3358504371730013,103.93347434709214,2019-04-13 03:36:16,1.3058953249890322,103.8381175190543,2019-04-13 03:52:49,993.0,w21zt54,w21z6vs,3,5
10161,1.319763686975505,103.96847005696422,2019-04-08 01:02:24,1.2955713982355992,103.88207698865344,2019-04-08 01:19:02,998.0,w21ztb7,w21z7gu,1,0
10164,1.3430282399039133,103.69252891385267,2019-04-16 18:38:41,1.3273029597117874,103.90905518918997,2019-04-16 18:55:52,1031.0,w21xxs6,w21zs98,18,1
1017,1.3447944885777605,103.74293118709762,2019-04-13 09:43:59,1.3853900940884871,103.85830005993958,2019-04-13 10:02:00,1081.0,w21z8sz,w21zgk5,9,5
10170,1.3491777,103.7525451,2019-04-19 10:33:48,1.4371778,103.7826586,2019-04-19 11:03:49,1801.0,w21z8vw,w23b1ts,10,4
1018,1.2768046,103.8023693,2019-04-16 09:03:22,1.3605495,103.8581526,2019-04-16 09:22:26,1144.0,w21z606,w21zere,9,1
1019,1.3000715,103.769855,2019-04-08 09:48:41,1.3059457,103.8257278,2019-04-08 10:07:23,1122.0,w21z3kd,w21z6te,9,0
10195,1.3912967235845477,103.901393860609,2019-04-16 23:33:12,1.4318415519523022,103.84966729412065,2019-04-16 23:49:22,970.0,w21zum6,w23b5ht,23,1
10199,1.3754004276214884,103.95600544743546,2019-04-12 15:40:28,1.435348520552202,103.84340198966633,2019-04-12 15:58:30,1082.0,w21zvd6,w23b5j2,15,4
102,1.3417456,103.7775744,2019-04-08 03:21:20,1.2876212,103.8457148,2019-04-08 03:39:36,1096.0,w21z9s2,w21z746,3,0
1020,1.3921761,103.8534752,2019-04-12 00:32:13,1.3163656,103.8584719,2019-04-12 00:47:32,919.0,w21zgjr,w21z7re,0,4
1021,1.3038446898415677,103.86550602146302,2019-04-12 09:04:25,1.3865872426522043,103.85815089047921,2019-04-12 09:23:05,1120.0,w21z7t2,w21zgk7,9,4
1022,1.3826685,103.8820613,2019-04-10 00:17:12,1.3414724,103.9154008,2019-04-10 00:35:53,1121.0,w21zggs,w21zssh,0,2
10220,1.2979649,103.8855779,2019-04-15 06:34:57,1.337105,103.7994688,2019-04-15 06:51:53,1016.0,w21z7ur,w21zd52,6,0
1023,1.332126576609704,103.96044422754606,2019-04-18 10:34:31,1.2899567366918945,103.84871519224626,2019-04-18 11:08:05,2014.0,w21ztdt,w21z74u,10,3
10232,1.3453357104005979,103.9836657676011,2019-04-08 08:04:45,1.317778970116114,103.86129995817677,2019-04-08 08:22:00,1035.0,w21zwhy,w21z7rv,8,0
10235,1.352757,103.9549038,2019-04-15 09:13:15,1.2969731,103.8593049,2019-04-15 09:38:47,1532.0,w21ztw3,w21z7kh,9,0
1024,1.330975243255431,103.85022791992395,2019-04-15 12:30:09,1.399773492670804,103.74831877128126,2019-04-15 12:47:51,1062.0,w21ze4m,w21zbyg,12,0
1025,1.3007994565094778,103.91061774031864,2019-04-12 00:29:36,1.28927822373702,103.79289556786793,2019-04-12 00:50:54,1278.0,w21zksc,w21z3fe,0,4
10254,1.2988866,103.8542956,2019-04-18 11:38:52,1.3454703,103.9833661,2019-04-18 12:03:42,1490.0,w21z7k2,w21zwhy,11,3
10256,1.3573286,103.6950898,2019-04-16 00:16:51,1.3267611,103.8282856,2019-04-16 00:38:38,1307.0,w21xxxh,w21zd9t,0,1
1026,1.2644909,103.8236985,2019-04-08 23:32:06,1.4258622,103.8538264,2019-04-08 23:52:44,1238.0,w21z4w4,w23b578,23,0
10263,1.298684329063297,103.85409609348226,2019-04-14 20:15:45,1.3477650749417254,103.96056517227169,2019-04-14 20:30:56,911.0,w21z7k2,w21zttm,20,6
10266,1.340484,103.759793,2019-04-12 03:55:15,1.2982846,103.8436763,2019-04-12 04:13:18,1083.0,w21z9h5,w21z7h2,3,4
1027,1.4098699344335215,103.82994577298297,2019-04-12 02:03:31,1.3336378863941885,103.86234068617394,2019-04-12 02:23:12,1181.0,w23b48w,w21ze6y,2,4
